Investigador,Nombre del proyecto,Tipo,Inicio,Año de inicio,Duración,Fin,Año de finalización,Resumen,Palabras,Área,Sectores 
Olimpo Jose Garcia Beltran,Síntesis de sondas fluorescentes derivadas de cumarinas y su aplicación como marcadores mitocondriales.,"Tipo de proyecto: Investigación, desarrollo e Innovación",Mayo 2015,2015,,Junio 2017,2017," Las mitocondrias, son organelos que se encuentra en casi todas las células eucariotas, desempeñan un papel vital en la vida y muerte de las células. La función principal de las mitocondrias es producir ATP, molécula altamente energética de la célula. La producción de ATP implica una serie de sistemas de transporte de electrones en la oxidación-vía fosforilación oxidativa, que también se encuentra asociado con la generación de especies reactivas de oxígeno (ROS). La producción de ROS en las mitocondrias conduce a la propagación de  radicales libres, dañando las células, y de esta manera, contribuyendo a la muerte celular, conocida como apoptosis. La morfología de las mitocondrias varía según el tipo de células, la etapa dentro del ciclo celular y el estado metabólico intracelular. Es controlada por un conjunto de proteínas, las que al mutar pueden generar un conjunto de enfermedades degenerativas, entre las que se encuentran el Parkinson y el Alzheimer. En los últimos años, varios estudios han demostrado el beneficio que resulta de transportar activamente moléculas terapéuticas a la mitocondria. Algunos autores han demostrado que entregar de manera específica moléculas antioxidantes a las mitocondrias puede proteger estos orgánulos del daño oxidativo. En estos estudios, cationes lipofílicos de trifenilfosfonio (TPP) se han conjugado con diferentes moléculas con acción biológica conocida para la orientación mitocondrial y además se han utilizado como agentes de imagen para el estudio de mal funcionamiento mitocondrial. La dinámica de la morfología de la mitocondria ha sido ampliamente estudiada debido a su participación en la apoptosis. Para realizar estos estudios se requiere de sondas específicas que sean fotoestables, las cuales permiten teñir la mitocondria y su observación en un microscopio de epifluorescencia. Sin embargo, las que se encuentran disponibles en el mercado sufren de mala fotoestabilidad, son muy costosas y en algunos casos el resultado de la tinción es muy difuso. Por lo tanto, este proyecto plantea la síntesis de sondas fluorescentes utilizando como fluoróforo el núcleo químico de cumarina y como molécula transportadora el catión lipofílicotrifenilfosfonio, que presenten ventajas sobre las ya existentes como una alta especificidad en las mitocondrias, fotoestabilidad, sensibilidad, bajo costo de producción y una apreciable tolerancia a los cambios ambientales. El alto costo de insumos para el análisis de muestras biológicas es uno de los factores más importantes que afectan el bajo desarrollo científico en el área de las ciencias biológicas. Países como Colombia, que cuentan con un presupuesto limitado para el desarrollo de  ciencia y tecnología necesitan de herramientas de bajo costo que permitan desarrollar nuevas tecnologías e investigaciones en ciencias biológicas y microscopía. Sabemos que al modificar químicamente las cumarinas pueden modular su fluorescencia, lo cual permite producir una gama de fluoróforo con emisión en diferentes regiones del espectro de luz. Así mismo, estas moléculas al actuar en conjunto con una transportadora como la trifenilsofina pueden generar compuestos muy selectivos a nivel mitocondrial. En este proyecto se busca realizar la síntesis de sondas fluorescentes derivadas de cumarinas, selectivas a organelos celulares y su uso como marcadores mitocondriales, evaluarlas empleando técnicas de procesamiento de imágenes a partir de muestras adquiridas en un microscopio de epifluorescencia, y compararlas con compuestos mitocondriales comerciales.",,,
Juan Pablo Echeverry Enciso,"Dinámica electrónica, transporte, plasmónica y  mircroscopía electrónica",Tipo de proyecto: Investigación y desarrollo,Enero 2011,2011,,Diciembre 2015,2015,,,,
Juan Pablo Echeverry Enciso,Valley dependent Optics and Transport in MoS2 Monolayers and Devices ¿ MoS2ValleyControl,Tipo de proyecto: Investigación y desarrollo,Enero 2014,2014,,Diciembre 2016,2016," In strong analogy to graphene, the physical properties of transition metal dichalcogenides (TMDCs) change drastically when thinning the bulk material down to one monolayer (ML). The closely related ML materials MoS2, MoSe2, WSe2 and WS2 have a direct bandgap in the visible region and show strong optical absorption (>10% / ML). TMDC MLs are atomically flat, 2D materials for electronic devices such as transistors, non-linear optics (frequency doubling) and optoelectronics (photodetectors, LEDs and solar cells). Current micro-and nano-electronics is based on the manipulation of the electron charge and spin. ML TMDCs provide unique and convenient access to controlling in addition the electron valley degree of freedom in k-space in the emerging field of 'valleytronics'. Our project is a feasibility study for using the robust electron k-valley degree of freedom for storing information. The valley index (K+ or K-) of an electron in ML TMDC is stabilized by the large spin-orbit splitting and is expected to be robust. First, the target of this project is to initialize a carrier population (electrons and/or holes) in a given valley, either by optical excitation using the chiral selection rules or by electrical injection. Second, we aim to study the transport of this electron population in the ML, by probing its valley degree of freedom. Before tackling directly the valley dependent optics and transport, the project partners with complementary backgrounds will work together to advance the understanding of the physical processes that govern optical absorption/emission and transport/mobility ¿ key characteristics for all future device applications of ML TMDCs. This extremely competitive research field currently relies essentially on exfoliated samples 5 x 5 micrometers in size. First, we will explore van-der-Waals (vdW) epitaxy using state of the art MBE facilities for controlled ML growth with larger sample dimensions, more adapted to device up-scaling. Key targets are growth on different substrates like SiO2 , h-BN and Sapphire and n- and p-doping. Heterostructure growth such as MoSe2/WSe2 will be carried out. By contacting the MLs with a ferro-magnet we will be able to perform dynamical spin injection. A key project target is to achieve higher carrier motilities. We aim to extract the mobility with the most reliable method up-to-date, the observation of Shubnikov-de Haas oscillations of the magneto-resistance. Here the application of magnetic fields of several tens of Tesla is necessary, provided by the LNCMI in Toulouse (max 80T by 2015). Linear and non-linear optical spectroscopy techniques, using recently installed ps lasers and streak cameras fully covering the relevant energy spectrum, will provide crucial insight into the electronic bandstructure: We will determine the true, free carrier bandgap of the ML samples by measuring the difference in energy of optical absorption for free carriers and strongly bound electron-hole pairs (excitons), predicted to be up to 1eV. In polarization and angle resolved experiments we will determine spin splittings in the conduction (predicted 3-30meV) and valence band (100-400meV). Time resolved experiments will determine the radiative lifetime, valley polarization and valley coherence time in MLs and vdW heterostructures. Important for future device applications are our experiments that quantify the changes induced by external parameters such as applied external fields and strain on the bandgap and the polarization of the emission. Sample preparation, transport and optics will benefit from the theoretical support provided by ab-initio calculations, providing atomistic insight into the exact role of strain, doping and dielectric (anti-screening) on the optoelectronic properties of TMDC MLs. The advances made by the united consortium effort in sample preparation, optics and transport will pave the way for the demonstration of the Valley Hall effect in these ideal 2D semiconductors.",,,
Hernán Javier   Herrera  Suárez,Estudio y modelamiento de los tiempos de captura en pozos cuánticos basados  en nitruro de Galio,Tipo de proyecto: Investigación y desarrollo,Agosto 2011,2011, 48,Agosto 2013,2013," El  avance en los dispositivos opto electrónicos, ha tenido un creciente interés en la comunidad científica. La mejora en estos dispositivos depende del conocimiento de la dinámica de los portadores en sistemas de baja dimensionalidad.  El presente proyecto pretende el estudio y modelamiento de los tiempos electrón-electrón (e-e) y electrón hueco (e-h) de captura en pozos cuánticos basados en Nitruro de Galio. Estos resultados teóricos se confrontaran con resultados experimentales.",,,
Hernán Javier   Herrera  Suárez,"Estudio de las propiedades electrónicas de la superficie (111) del V, Cr, Mn y Mo.",Tipo de proyecto: Investigación y desarrollo,Enero 2015,2015,,Enero 2016,2016," Este proyecto realizará un estudio detallado de la estructura electrónica de bandas de la superficie orientadas en la dirección cristalográfica (111) de cristales cúbicos centrados en el cuerpo del V, Cr, Mn, y Mo. Para este estudio se empleará la aproximación de enlace fuerte con el método de acoplo de la función de Green de superficie. Primero, se estudiará las propiedades electrónicas de volumen de los metales de transición y se comparará estos resultados con los obtenidos por métodos de primeros principios. Se utilizará una base ortogonal de nueve orbitales atómicos,(spd), por átomo en la celda unitaria. Para el estudio de las superficies, se empleará el método de empalme de la función de Green de superficie. Se verificará que la densidad local de estados, proyectada en el volumen, concuerde con los resultados obtenidos para el caso del medio infinito reportado por Papaconstantopoulos (Papaconstantopoulos, 1986). Se presentará un estudio detallado de diferentes estados de superficie y estados resonantes característicos de la superficie cristalográfica (111) del V, Cr, Mn, Mo.",,,
Hernán Javier   Herrera  Suárez,Estructura electrónica de las superficies de metales de transición con estructura cristalográfica BCC y FCC,Tipo de proyecto: Investigación y desarrollo,Enero 2000,2000,,Octubre 2018,2018," Este proyecto realizará un estudio detallado de la estructura electrónica de bandas de la superficie orientadas en las direcciones cristalográficas (001), (110) y(111) de cristales cúbicos centrados en la cara y en las  las direcciones cristalográficas (001)y (110) para cristales cúbicos centrados en el cuerpo de metales de transición. Para este estudio se empleará la aproximación de enlace fuerte con el método de acoplo de la función de Green de superficie. Primero, se estudiará las propiedades electrónicas de volumen de los metales de transición y se comparará estos resultados con los obtenidos por métodos de primeros principios. Se utilizará una base ortogonal de nueve orbitales atómicos,(spd), por átomo en la celda unitaria. Para el estudio de las superficies, se empleará el método de empalme de la función de Green de superficie. Se verificará que la densidad local de estados, proyectada en el volumen, concuerde con los resultados obtenidos para el caso del medio infinito reportado por Papaconstantopoulos (Papaconstantopoulos, 1986). Se presentará un estudio detallado de diferentes estados de superficie y estados resonantes",,,
Hernán Javier   Herrera  Suárez,Teoría de Galois diferencial y control en un modelo dinámico de digestión anaerobia para tratamiento de aguas residuales,Tipo de proyecto: Investigación y desarrollo,Enero 2018,2018,,Diciembre 2019,2019,,,,
Carlos Antonio Jacanamejoy Jamioy,Aproximando soluciones de ecuaciones diferenciales mediante reemplazos recursivos,Tipo de proyecto: Investigación y desarrollo,Julio 2015,2015,,Agosto 2016,2016," Proponemos construir una metodología para la solución analítica a sistemas de ecuaciones diferenciales como una serie de potencias. La metodología utiliza el mismo sistema de ecuaciones para, a través de relaciones de recurrencia, encontrar los coeficientes de la serie. Adicionalmente proponemos encontrar aproximaciones numéricas con un error bien determinado. Dadas las características del método podemos garantizar que el error esté acotado a cualquier tolerancia deseada.",,,
Carlos Antonio Jacanamejoy Jamioy,Comparación de técnicas de control digital y conmutación en inversores monofásicos,Tipo de proyecto: Investigación y desarrollo,Enero 2011,2011,,Septiembre 2012,2012," Se busca aplicar las técnicas de conmutación SPWM unipolar y bipolar en inversores de medio puente y puente completo, así mismo desarrollar un inversor multinivel y evaluar en comparación aspectos como eficiencia, contenido armónico y regulación. Se estudian aplicaciones de convertidores basados en conmutación PWM con referencias variantes en el tiempo y control digital. Se aborda el caso del control digital de un rectificador con correción de factor de potencia y posteriormente de un filtro activo monofásico.",,,
Carlos Antonio Jacanamejoy Jamioy,Cuantificación automática del número celular en el cerebro de Drosophila,Tipo de proyecto: Investigación y desarrollo,Enero 2019,2019,,,," El número de células de un organismo está altamente regulado. Durante la vida adulta, las células se renuevan para permitir la renovación de tejidos y órganos y mantener la integridad estructural del organismo. Este proceso requiere la multiplicación celular para reemplazar las células envejecidas, dañadas o muertas; sin afectar el número adecuado. En el sistema nervioso, la proliferación excesiva de células o el aumento de la supervivencia celular da lugar a tumores cerebrales y cáncer cerebral (neuroblastoma y glioblastoma) y la disminución excesiva de células a enfermedades neurodegenerativas; así la pérdida de neuronas es causa de enfermedades como Alzheimer, Parkinson y Huntingdon y la pérdida de células gliales a esclerosis múltiple. Actualmente, los costos más elevados en los servicios de salud en los países desarrollados, y probablemente también en los países en vía de desarrollo, se debe al cáncer y enfermedades neurodegenerativas. Por estas razones, entender como las células alcanzan y mantienen el número celular correcto, que garantice la integridad estructural y comportamiento normal, es crucial para el desarrollo de nuevos fármacos y otras estrategias terapéuticas para curar el cáncer, enfermedades neurodegenerativas y permitir un envejecimiento sano y con buena calidad de vida. Gracias a los avances en el desarrollo de equipos de microscopía, en particular con la aparición de la microscopía confocal, y la creación de fluoroforos ha sido posible observar con mayor definición y en 3D el cerebro de la mosca del vinagre, Drosophila, modelo animal empleado para el estudio cerebral. Sin embargo, uno de los mayores problemas que se plantea en la investigación es el conteo celular, pues las células aparecen apiñadas, haciendo imposible distinguir en algunos casos unas células de otras. Así, esta es una tarea ardua, larga y subjetiva que requiere ser desarrollada, empleando técnicas de procesamiento de imágenes debido a las extremadamente difíciles dificultades técnicas que este problema plantea. Dada la experiencia previa en el área del grupo de investigadores proponentes, se propone realizar un método para la detección y conteo de células del cerebro de Drosophila adulto y sus estructuras en imágenes de microscopía confocal 3D, basado en técnicas de procesamiento de imágenes, para ser utilizado en estudios del cerebro adulto de Drosophila. Para enfrentar este problema se estudiarán métodos de deconvolución con el fin de explorar la posibilidad de mejorar la resolución y definición de las imágenes. Igualmente, se explorarán técnicas de filtrado desarrolladas en la última década, las cuales pueden permitir una mejora significativa en la eliminación de ruido, y se hará un estudio estadístico de la forma y tamaño de las células, que pueda servir para determinar el número aproximado de células cuando aparezcan demasiado apiñadas. Finalmente, se emplearán técnicas de identificación y etiquetado de células con el fin de entregar el número de células. Igualmente, se exploraran las técnicas más recientes desarrolladas en inteligencia artificial, entre ellas aprendizaje profundo para determinar si son apropiadas para el conteo celular. Como resultado se espera tener un programa de libre acceso que permita el conteo de células del cerebro de Drosophila adulto.",,,
Alexander Cortés Soto,"Diseño de una unidad didáctica para la enseñanza y el aprendizaje del tema Movimiento Oscilatorio desde la articulación de los conceptos físicos, el modelamiento matemático y sus aplicaciones",Tipo de proyecto: Investigación y desarrollo,Junio 2014,2014,,Enero 2016,2016,,,,
Alexander Cortés Soto,Introducción al análisis magnético y estructural de suelos cultivables con café en el departamento del Tolima,Tipo de proyecto: Investigación y desarrollo,Agosto 2016,2016,,Agosto 2017,2017," El proyecto propone un estudio introductorio de la minerología de suelos cafeteros del departamento del Tolima por las técnicas de difracción de rayos x y de espectroscopía Mossbauer, las cuales permiten detectar y medir en forma selectiva la presencia de sesquióxidos y otros minerales que contienen hierro (Fe), tales como los óxidos, hidróxidos, oxihidróxidos de hierro, que estan presentes en los suelos. La espectroscopía Mossbauer pretende contribuir al entendimiento de las propiedades magnéticas, químicas y cristalográficas de los óxidos y oxihidróxidos de hierro puros y dopados. La difracción de rayos x se utilizará para estudiará las propiedades estructurales de las fases obtenidas de las muestras de los suelos agrícolas objetivo de éste estudio, identificando cada mineral con la información inicial que proporciona esta técnica y la información sobre los parámetros híperfinos de los minerales de Fe que proporciona la espectroscopía Mossbauer. Finalmente se propondrá criterios de correlación de resultados y un modelo que conlleven a evaluar la sostenibilidad del suelo y su uso para cultivos de Café mediante los métodos mencionados anteriormente.",,,
Luz Patricia Naranjo Riano,Procesamiento y caracterización de los nitruros de cromo depositados sobre un acero 316L en la atmósfera gaseosa a baja temperatura como alternativa de material en implantes médicos.,Tipo de proyecto: Investigación y desarrollo,Enero 2005,2005,,,,,,,
Luz Patricia Naranjo Riano,: UTILIZACIÓN DE VIDRIOS DE FESDESPATO DE LA MINA DE IBAGUE EN RECUBRIMIENTOS INDUSTRIALES,Tipo de proyecto: Investigación y desarrollo,Junio 2008,2008, 12,Febrero 2010,2010," En la parte experimental de este proyecto, debido a que no se pudo conseguir una pistola de proyección térmica para hacer los recubrimientos,  se tomó  como método alternativo,  fundir el feldespato en crisoles de un material cerámico que resista temperaturas del orden de los 1700oC.  Como los crisoles tuvieron que ser importados, estos tardaron casi  seis meses en llegar, retrasando en más de un semestre, el desarrollo del proyecto. Recubrimientos vítreos en superficies de acero, no se pudieron realizar debido a que para la fusión del feldespato, se requiere muflas que alcancen temperaturas alrededor de 1600oC. Finalmente, se realizaron tratamientos térmicos y experimentos de absorción óptica y luminiscencia con muestras vítreas producidas en Brasil, con los cuales se pudieron identificar dopantes vítreos que permiten aumentar la luminiscencia de centros ópticos activos.",,,
Luz Patricia Naranjo Riano,Calculo del rendimiento cuántico de la luminiscencia  de iones de tierras raras en presencia de nanopartículas de plata.,Tipo de proyecto: Investigación y desarrollo,Junio 2009,2009, 24,Julio 2011,2011," Se utilizó un modelo teórico basado en el teoría electromagnética clásica [1], donde considera los mecanismos de aumento de campo local, alrededor del ión, y transferencia de energía de los iones a las partículas. El primer mecanismo contribuye al aumento del rendimiento cuántico de la emisión, mientras que el segundo lo disminuye, entrando los mecanismos en una competición. El  rendimiento cuántico ( ) se  define  como la  relación entre la  intensidad luminosa con y sin partículas. Para confrontar el modelo teórico del rendimiento cuántico se obtuvieron espectros de emisión de la transición más eficiente del ión Pr3+ en un vidrio fluorborato con nanopartículas de plata. La literatura reporta resultados que corroboran los resultados de esta investigación, lo cual contribuye a dar mayor validez al modelo teórico utilizado, sujeto a ser mejorado con inclusiones de otros mecanismos que explicaría la evidencia experimental. La investigación realizada aborda un tema de actualidad en el ámbito de la nanociencia y presenta buenas perspectivas tanto para mejorar la teoría existente como para aplicaciones tecnológicas.",,,
Luz Patricia Naranjo Riano,ANÁLISIS DE LA ABSORCION DE LA MATERIA ORGANICA DE LA PLANTA DE LA UNIVERSIDAD DE IBAGUE,Tipo de proyecto: Investigación y desarrollo,Julio 2010,2010,,Julio 2011,2011," Este trabajo pretende determinar la composición característica de la materia orgánica de la planta de tratamiento de aguas residuales de la Universidad de Ibagué, mediante métodos que involucran absorción de la luz por la materia. Para determinar qué tipo de radiación electromagnética absorbe la materia, es necesario obtener espectros de absorción, y para ello la Universidad de Ibagué cuenta con un espectrofotómetro. Pero, es necesario automatizar la toma de estos espectros,  ya que se hace manualmente, y esto se consigue mediante una interface espectrofotómetro-computador que nos permita digitalizarlos. Haciendo un muestreo periódico de la materia orgánica de la planta, y obteniendo sus respectivos espectros de absorción de forma sistemática, se podría caracterizar la composición orgánica si esta presenta una o algunas absorciones típicas, las que se reconocerían a partir de estudios  estadísticos basados en los espectros obtenidos.",,,
Luz Patricia Naranjo Riano,USO DE TÉCNICAS ÓPTICAS PARA DETERMINAR EL NIVEL DE  MATERIA ORGANICA EN LA PLANTA DE TRATAMIENTO DE AGUA RESIDUAL  DE LA UNIVERSIDAD DE IBAGUÉ,Tipo de proyecto: Investigación y desarrollo,Julio 2012,2012,,Diciembre 2014,2014," Este proyecto tiene como objetivo la determinación de la composición característica de la materia orgánica de la planta de tratamiento de aguas residuales de la Universidad de Ibagué y diseñar una técnica óptica que nos permita cuantificar la composición de dicha materia. Haciendo un muestreo periódico de la materia orgánica de la planta, y obteniendo sus respectivos espectros de absorción de forma sistemática, se caracteriza la composición orgánica si esta presenta una o algunas absorciones típicas, las que se reconocen a partir de estudios  estadísticos basados en los espectros obtenidos. Reconocidas las absorciones típicas se procederá al diseño de la técnica óptica que involucra espectroscopia de absorción y emisión de la materia orgánica adicionada con tierras raras. La composición de la materia orgánica se reconoce mediante la cantidad de oxigeno que consume la materia orgánica más conocida como demanda bioquímica de oxígeno.  Con la identificación de procesos ópticos que determinen la demanda bioquímica de oxígeno, se establecerán las bases para el diseño de un sensor óptico para tal fin. Paralelamente a la determinación de la materia orgánica, se procederá a hacer la revisión del estado de arte de las técnicas ópticas (o dispositivos) disponibles en el mundo con la finalidad de hacer la vigilancia tecnológica correspondiente.",,,
Luz Patricia Naranjo Riano,DETERMINACIÓN DE LA MATERIA ORGANICA DE SUELOS MEDIANTE TÉCNICAS ESPECTROSCÓPICAS,Tipo de proyecto: Investigación y desarrollo,Julio 2015,2015,,Mayo 2018,2018," Este proyecto tiene como objetivo estimar el material orgánico presente en suelos, y diseñar una técnica óptica que nos permita cuantificar dicho material utilizando espectroscopia de absorción y emisión. Haciendo un muestreo periódico de la materia orgánica en suelos, y obteniendo sus respectivos espectros de absorción de forma sistemática, se caracteriza la composición orgánica si esta presenta una o algunas absorciones típicas, las que se reconocen a partir de estudios estadísticos basados en los espectros obtenidos. Reconocidas las absorciones típicas se procederá al diseño de la técnica óptica que involucra espectroscopia de absorción y emisión de la materia orgánica adicionada con Tierras Raras (TRs), ya que estas absorben radiación de una gama de energías, cuando son triplemente ionizadas, que van desde el ultravioleta hasta el infrarrojo lejano. En la mayoría de los laboratorios de análisis de suelos, la materia orgánica se mide por el método de Walkley-Black, el cual consiste en una oxidación parcial del carbono (C) orgánico por la adición de una mezcla ácida de dicromato de potasio, este método evaluará la validez de la técnica óptica por comparación. Con la identificación de procesos ópticos que determinen la materia orgánica, se establecerán las bases para el diseño de un sistema portable para tal fin. Paralelamente a la determinación de la materia orgánica, se procederá a hacer la revisión del estado de arte de las técnicas ópticas (o dispositivos) disponibles en el mundo con la finalidad de hacer la vigilancia tecnológica correspondiente",,,
Luz Patricia Naranjo Riano,Estudio y modelamiento de los tiempos de captura en pozos cuánticos basados en nitruro de Galio,Tipo de proyecto: Investigación y desarrollo,Febrero 2013,2013,,Agosto 2015,2015,,,,
Luz Patricia Naranjo Riano,Diseño y síntesis de quimiosensores específicos para Hg2+ y su aplicación ambiental,Tipo de proyecto: Investigación y desarrollo,Junio 2014,2014,,Octubre 2016,2016,,,,
Lida Marcela Franco Pérez,"Dispersal, genetic differentiation and kinship of an ancient marsupial (Dromiciops gliroides) in a highly fragmented landscape",Tipo de proyecto: Investigación y desarrollo,Septiembre 2012,2012,,Septiembre 2014,2014, http://www.rufford.org/rsg/projects/lida_marcela_franco_p%C3%A9rez_0,,,
Lida Marcela Franco Pérez,"Biodiversidad faunística de la cuenca del río Coello, Biodiversidad Regional Fase I¿. Laboratorio de Investigaciones en Zoología",Tipo de proyecto: Investigación y desarrollo,Enero 2003,2003,,,,,,,
Lida Marcela Franco Pérez,Docencia Investigativa al Servicio de la Sociedad en Trabajo con la Comunidad ¿ Hacienda Los Cambulos,Tipo de proyecto: Investigación y desarrollo,Enero 2002,2002,,,,,,,
Lida Marcela Franco Pérez,Global pollinator declines: Assessing the physiological susceptibility of honey bees to pesticides and global warming,Tipo de proyecto: Investigación y desarrollo,Enero 2015,2015,,Febrero 2017,2017," One of the most ancient associations between humans and other species is represented by the domestication of the ¿European honeybee¿ (Apismellifera), which occurred about 7000 years ago. This is a remarkable case of mutualism and coevolution as, thanks to humans, honeybees have increased their population sizes, extended their geographic ranges from Africa to Europe and to worldwide, colonizing new environments and generating new adapted local varieties. On the human side, bees not only provide irreplaceable hive products for human consumption, but they also provide essential ecosystem services that are vital to the maintenance of biodiversity of wild plant communities and agricultural crops. The fact that most angiosperms depend on insects for pollination (mostly bees), make honeybees crucial not only for human but for life in general. However, severe regional declines in domestic honeybee colonies have been documented repeatedly during the last years in different parts of the world. These declines have been attributed principally to the presence of pathogens, the overuse of chemical pesticides and changes in climatic conditions. In Colombia, little is known regarding the cause of some putative recent declines; but the absence of basic ecophysiological information about honeybees in our country precludes any serious conclusion. Nonetheless, substantial concerns have been raised about the understanding of the physiological tolerances and susceptibilities of honeybees to natural and anthropogenic threats, and their consequences on future availability of honeybee pollination services. Goals: Recent studies have shown that exposure to pesticides induce an immune depression that could be the cause of pathogen attack, which in turn, provoke honeybee sudden declines. However, little is known about how chemical stressors and climate change (=thermal stress) interact, provoking physiological changes. Here we propose to perform a factorial experiment with thermal and chemical stress, to simultaneously analyze the metabolic rate and the gene expression profile of honeybees. We hypothesize that the immune effects of pesticides at sub lethal doses combined with increased temperatures could have an impact on viability and growth, and especially on metabolism. This will be evidenced by a depression of metabolic rate and over-expression of detoxification genes. Additionally, we hypothesize that the highly diverse climates that A. mellifera inhabits in Colombia, could influence local adaptation of honeybee populations. This will be evidenced by different thermal performance curves among populations from different climatic regions.",,,
Lida Marcela Franco Pérez,"Diagnóstico, manejo y mitigación de los impactos ambientales y sociales en el remanente de bosque subandino ¿El Espejo¿ en la Universidad de Ibagué",Tipo de proyecto: Investigación y desarrollo,Enero 2016,2016,,,," Los bosques subandinos poseen una gran riqueza en términos de biodiversidad y endemismos de flora y fauna. En Colombia, estos ecosistemas se encuentran ubicados en la zona Andina, la cual es el área de mayor densidad poblacional con una constante transformación y degradación de sus componentes bióticos, por lo que se considera un ecosistema prioritario para su conservación. Este proyecto tiene como objetivo realizar un diagnóstico, plan de manejo y proponer posibles estrategias de mitigación  en el remanente de bosque subandino ubicado en la Microcuenca de la Quebrada Ambalá inmerso en el campus de  la Universidad de Ibagué. Actualmente, se cuenta con información acerca de la fauna y se está desarrollando un proyecto para determinar la diversidad florística existente en dicho remanente. La información sugiere que a pesar de ser un fragmento relativamente pequeño (1.5Ha) conserva una gran diversidad y especies nativas pertenecientes al ecosistema original. Para realizar este trabajo se plantean tres fases de desarrollo: fase diagnóstica, fase analítica y fase propositiva.  En la primera se realizara la recopilación de información relevante que será organizada y procesada para posteriormente hacer un reconocimiento de las problemáticas ambientales, sociales y culturales, y así realizar una zonificación del lugar. En la segunda se realizará el análisis a través de una matriz DOFA y la priorización de los servicios ambientales que presta el remanente y  en la tercera fase se establecerán los lineamientos del plan de mitigación y manejo ambiental. Finalmente, se espera obtener un diagnóstico del estado actual del bosque ¿el espejo¿ que incluya todos los impactos ecológicos, ambientales y sociales; y posibles estrategias y alternativas de mitigación a dichos impactos.  Como resultado final, se propondrá un plan de manejo que implemente la educación ambiental y concientice a los diferentes organismos de la Universidad quienes son los que tienen mayor contacto con la zona. Esto con el fin de plantear estrategias de protección y con la proyección de que este remanente sea aprovechado de manera sostenible y se convierta en un espacio de conservación, paisajismo y calidad de vida para toda la comunidad de la Universidad de Ibagué y personas externas que puedan hacer uso consiente del mismo.",,,
Lida Marcela Franco Pérez,Efecto de la dosis subletal del pesticida neonicotinoide (Imidacloprid) sobre el desempeño fisiológico de reinas de Apis mellifera.,Tipo de proyecto: Investigación y desarrollo,Julio 2016,2016,,Diciembre 2017,2017," Una de las más antiguas asociaciones entre la población humana y especies silvestre está representada por la domesticación de la ""abeja europea"" (Apis mellifera), la cual ocurrió hace unos 7000 años. Esto es un evidente caso de mutualismo y evolución, gracias a esta asociación las abejas han aumentado sus tamaños poblacionales y extendido su rango de distribución desde África a Europa y alrededor de todo el mundo, colonizando nuevos ambientes y generando nuevas variedades locales adaptadas. Los insectos polinizadores y en especial las abejas proporcionan grandes beneficios a los humanos, por un lado proveen productos irremplazables para consumo (miel, cera, propoleo y jalea real) y a su vez proporcionan servicios ecosistémicos esenciales para el mantenimiento de la biodiversidad de las comunidades de plantas silvestres y cultivos agrícolas. De hecho la FAO (www.unep.org 2010) estima que de 100 tipos de cultivos agrícolas que proveen el 90% del alimento en el mundo, 71 son polinizados por abejas. A pesar de la crucial importancia de las abejas en el mantenimiento de la vida, se han documentado graves disminuciones en las colonias de Apis mellifera durante los últimos años en diferentes partes del mundo, esta disminución está relacionada principalmente por la desaparición repentina de adultas obreras dentro de las colonias, usualmente en la fase de invierno, lo cual ha provocado el interés mundial. Estos descensos se han documentado principalmente en Estados Unidos, Europa y algunos lugares del Norte de África. Estos descensos se han atribuido principalmente a la presencia de patógenos, el uso excesivo de pesticidas químicos y los cambios en las condiciones climáticas. Sin embargo, poco se conoce acerca de cómo estresores químicos interactúan y pueden llegar a provocar cambios fisiológicos con consecuencias ecológicos en estos insectos polinizadores. Principalmente, en las abejas reinas, la cual es considerada la abeja más importante en la colonia. Ella tiene la función de poner huevos y propagar la especie, además  consolidan la unión y cohesión de su familia y controlan ciertos aspectos de la fisiología y comportamiento de las obreras, pueden vivir alrededor de 8 meses en áreas tropicales y casi 2 años en áreas templadas. (Caron, 2010). En el trópico y específicamente en Colombia se conoce muy poco sobre la causa de algunas disminuciones recientes, pero la ausencia de información biológica básica sobre las abejas se opone a obtener conclusiones robustas acerca de esta problemática. En este proyecto nosotros proponemos realizar un experimento factorial con estrés químico, para analizar la susceptibilidad fisiológica de abejas reinas fecundadas y vírgenes de A. mellifera. Finalmente, proyectamos que el efecto de Imidacloprid a dosis residuales podría generar una depresión del sistema inmune de abejas reinas de A. mellifera generando un mayor costo energético y mayor susceptibilidad fisiológica en reinas fecundadas, lo cual podría tener consecuencias directas sobre su capacidad reproductiva.",,,
Lida Marcela Franco Pérez,"Estudio ecológico y genético de la (s) población (es) de nutria neotropical (Lontra longicaudis), aguas arriba y aguas abajo de la Central hidroeléctrica la Miel I",Tipo de proyecto: Investigación y desarrollo,Mayo 2014,2014,,Diciembre 2017,2017,,,,
