Investigador,Nombre del producto,Tipo,Autores,Lugar,Editorial,DOI,ISSN,Revista,Año,Volumen,Fasciculo,Página inicial,Página final,Palabras,Area,Sectores
Olimpo Jose Garcia Beltran,Secondary Metabolite Profiling of Species of the Genus Usnea by UHPLC-ESI-OT-MS-MS,Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Colombia, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/molecules23010054, 1420-3049,Molecules,2018, 23, , 54, 69,,,
Olimpo Jose Garcia Beltran,Simultaneous Determination of Lead and Cadmium by Stripping Voltammetry Using in-situ Mercury Film Glassy Carbon Electrode Coated with Nafion-Macrocyclic Ester,Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Serbia, Fundacao Cesgranrio, doi: 10.20964/2017.08.65, 1452-3981,International Journal of Electrochemical Science,2017, 12, , 6920, 6929,,,
Olimpo Jose Garcia Beltran,Determination of Rutin in Drinks Using an Electrode Modified with Carbon Nanotubes-Prussian Blue,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR",  Alemania, Maik Nauka Publishing / Springer SBM, 10.1134/S1061934818050064, 1608-3199,Journal of Analytical Chemistry,2018, 73, , 504, 511,"Rutin,",,
Olimpo Jose Garcia Beltran,"New combination between chitosan, single walled carbon nanotubes and neodymium(III) oxide found to be useful in the electrochemical determination of rutin in the presence of morin and quercetin",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, JORGE ANDRES CALDERON GUTIERREZ, EDGAR ORLANDO NAGLES VIDAL, ALFREDO JOSE TORRES BENITEZ, MARIA CARDOZO",  Reino Unido, Royal Society of Chemistry, 10.1039/c7ay02171b, 1759-9679,Analytical Methods,2017, 9, N/A, 6474, 6481,,,
Olimpo Jose Garcia Beltran,Evaluation of the usefulness of a novel electrochemical sensor in detecting uric acid and dopamine in the presence of ascorbic acid using a screen-printed carbon electrode modified with single walled carbon nanotubes and ionic liquids,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JORGE ANDRES CALDERON GUTIERREZ",  Reino Unido, Jai-Elsevier Ltd, 10.1016/j.electacta.2017.11.093, 0013-4686,Electrochimica Acta,2017, 258, N/A, 512, 523,"modified electrode,",,
Olimpo Jose Garcia Beltran,Detection of Sunset Yellow by Adsorption Voltammetry at Glassy Carbon Electrode Modified with Chitosan,Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Serbia, Fundacao Cesgranrio, 10.20964/2018.05.35, 1452-3981,International Journal of Electrochemical Science,2018, 13, , 5005, 5015,"Adsorption voltammetry,",,
Olimpo Jose Garcia Beltran,Synthesis and Structural Characterization of New Macrocyclic Ester. Study as an Immobilization Agent for Determination of Lead by Anodic Stripping Voltammetry,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL",  Yugoslavia, Fundacao Cesgranrio, 10.20964/2017.04.40, 1452-3981,International Journal of Electrochemical Science,2017, 12, , 3109, 3119,"Macrocyclic ester,",,
Olimpo Jose Garcia Beltran,In Silico Study of Coumarins and Quinolines Derivatives as Potent Inhibitors of SARS-CoV-2 Main Protease,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, OSVALDO YANEZ, WILLIAM TIZNADO, CARLOS ARECHE",  Suiza, Frontiers Media S.A., 10.3389/fchem.2020.595097, 2296-2646,Frontiers in Chemistry,2021, 8, , 595097, 595097,"SARS-CoV-2,",,
Olimpo Jose Garcia Beltran,"A New Electrochemical Method to Detect Sunset Yellow, Tartrazine and Thiomersal in a Pharmaceutical Dose Using a Carbon Paste Electrode Decorated with Molybdenum Oxide",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR",  Alemania, Wiley - V C H Verlag GmbbH & Co., 10.1002/elan.202060008, 1521-4109,Electroanalysis,2020, 32, , 2174, 2182,"Molybdenum oxide,",,
Olimpo Jose Garcia Beltran,Structure¿antioxidant activity relationships in boldine and glaucine: a DFT study,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDISON HUMBERTO OSORIO LOPEZ, LINA MARIA RUIZ HINCAPIE, OSVALDO YANEZ, WILLIAM TIZNADO, CARLOS ARECHE",  Reino Unido, Royal Society of Chemistry, 10.1039/d0nj04028b, 1144-0546,New Journal of Chemistry,2021, 45, , 590, 596,,,
Olimpo Jose Garcia Beltran,"In Vitro Anthelmintic Evaluation of Gliricidia sepium, Leucaena leucocephala, and Pithecellobium dulce: Fingerprint Analysis of Extracts by UHPLC-Orbitrap Mass Spectrometry",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, NESTOR JAIME ROMERO JOLA, ANGEL ENRIQUE CESPEDES RUBIO, CARLOS ARECHE, MARIO SIMIRGIOTIS, JORGE ANDRES CALDERON GUTIERREZ",  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/molecules25133002, 1420-3049,Molecules,2020, 25, , 3002, 3002,,,
Olimpo Jose Garcia Beltran,"The crystal structure of 1-carboxy-2-(1H-indol-3-yl)-N,N,N-trimethylethan-1-ammonium chloride, C14H19N2O2Cl",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, CARLOS ARECHE, ANTONIO GALDAMEZ",  Alemania, De Gruyter Mouton, 10.1515/ncrs-2020-0240, 2197-4578,Zeitschrift für Kristallographie - New Crystal Structures,2020, 235, , 1183, 1185,,,
Olimpo Jose Garcia Beltran,Iron Chelators and Antioxidants Regenerate Neuritic Tree and Nigrostriatal Fibers of MPP+/MPTP-Lesioned Dopaminergic Neurons,Artículo - Publicado en revista especializada,"PABLA AGUIRRE, NATALIA MENA, CARLOS CARRASCO, YORKA MUNOZ, PATRICIO PEREZ HENRIQUEZ, RODRIGO MORALES, BRUCE CASSELS NIVEN, CAROLINA MENDEZ GALVEZ, OLIMPO JOSE GARCIA BELTRAN, CHRISTIAN GONZALEZ BILLAULT, MARCO NUNEZ",  Estados Unidos, Public Library of Science, 10.1371/journal.pone.0144848, 1932-6203,PLoS ONE,2015, 10, 12, 1, 15,,,
Olimpo Jose Garcia Beltran,In situ-Mercury Film Electrode for Simultaneous Determination of Lead and Cadmium Using Nafion Coated New Coumarin Schiff Base as Chelating-Adsorbent,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL",  Colombia, Fundacao Cesgranrio, 10.20964/2016.12.02, 1452-3981,International Journal of Electrochemical Science,2016, 11, , 9855, 9867,"7-hydroxycoumarin,",,
Olimpo Jose Garcia Beltran,Electrochemical Sensors for Dopamine using Graphenecobalt(II) Complex Modified Glassy Carbon Electrode by Adsorptive Voltammetry,Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Irán," Center of Excellence in Electrochemistry, Faculty of Chemistry, University of Tehran",, 2008-4226,Analytical and Bioanalytical Electrochemistry,2016, 8, 7, 910, 921,,,
Olimpo Jose Garcia Beltran,Determination of Rutin in Black Tea by Adsorption Voltammetry (AdV) in the Presence of Morin and Quercetin,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL",  Colombia, Springer Netherlands, 10.1007/s12161-016-0538-y, 1936-976X,Food Analytical Methods,2016, 9, 12, 3420, 3427,,,
Olimpo Jose Garcia Beltran,Gastroprotective effects of new diterpenoid derivatives from Azorella cuatrecasasii Mathias & Constance obtained using a β-cyclodextrin complex with microbial and chemical transformations,Artículo - Publicado en revista especializada,"BEATRIZ SEPULVEDA, CRISTINA QUISPE, MARIO SIMIRGIOTIS, OLIMPO JOSE GARCIA BELTRAN, CARLOS ARECHE",  Reino Unido, Jai-Elsevier Ltd, 10.1016/j.bmcl.2016.05.081, 0960-894X,Bioorganic and Medicinal Chemistry Letters,2016, 26, , 3220, 3222,,,
Olimpo Jose Garcia Beltran,"Ex Situ Poly(3,4-ethylenedioxythiophene)-sodium Dodecyl Sulfate-Antimony Film Electrode for Anodic Stripping Voltammetry Determination of Lead and Cadmium",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL",  Colombia, Fundacao Cesgranrio, 10.20964/2016.09.28, 1452-3981,International Journal of Electrochemical Science,2016, 11, , 7507, 7518,"Electrochemically deposited PEDOT,",,
Olimpo Jose Garcia Beltran,"Gastroprotective activity of synthetic coumarins: Role of endogenous prostaglandins, nitric oxide, non-protein sulfhydryls and vanilloid receptors",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, BEATRIZ SEPULVEDA, CARLOS ARECHE, MARIO SIMIRGIOTIS",  Reino Unido, Jai-Elsevier Ltd, 10.1016/j.bmcl.2016.10.056, 0960-894X,Bioorganic and Medicinal Chemistry Letters,2016, 26, , 5732, 5735,"Coumarins,",,
Olimpo Jose Garcia Beltran,"Neuroprotective Effect of a New 7,8-Dihydroxycoumarin-Based Fe2+/ Cu2+ Chelator in Cell and Animal Models of Parkinson¿s Disease",Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Colombia, American Chemical Society, 10.1021/acschemneuro.6b00309, 1948-7193,ACS Chemical Neuroscience,2017, 8, , 178, 185,,,
Olimpo Jose Garcia Beltran,Development of a novel electrochemical sensor based on cobalt(II) complex useful in the detection of dopamine in presence of ascorbic acid and uric acid,Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Colombia, Elsevier Bv, 10.1016/j.jelechem.2017.01.057, 1572-6657,Journal Of Electroanalytical Chemistry,2017, 788, , 38, 43,,,
Olimpo Jose Garcia Beltran,Development of an Electrochemical Sensor to Detect Dopamine and Ascorbic Acid Based on Neodymium (III) Oxide and Chitosan,Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Colombia, Wiley - V C H Verlag GmbbH & Co., 10.1002/elan.201600729, 1521-4109,Electroanalysis,2017, 29, , 1, 8,,,
Olimpo Jose Garcia Beltran,New fluorescent turn-off probes for highly sensitive and selectivedetection of SO2derivatives in a micellar media,Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Colombia, Elsevier Bv, 10.1016/j.snb.2016.07.107, 0925-4005,"Sensors and Actuators, B: Chemical",2017, 238, , 578, 587,,,
Olimpo Jose Garcia Beltran,Impedimetric evaluation of hybrid cationic porphyrin/quantum dot multilayer assemblies: a biocompatible interface for calf thymus DNA immobilization,Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Colombia, Springer Netherlands, 10.1007/s10008-016-3367-4, 1433-0768,Journal of Solid State Electrochemistry,2017, 21, , 243, 253,,,
Olimpo Jose Garcia Beltran,Biosystem Analysis of the Hypoxia Inducible Domain Family Member 2A: Implications in Cancer Biology,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, WILLIAM TIZNADO, OSVALDO YANEZ, LINA MARIA RUIZ HINCAPIE, NATALIE CHARLOTTE CORTES RENDON",  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/genes11020206, 2073-4425,Genes,2020, 11, , 1, 20,"quercetin,",,
Olimpo Jose Garcia Beltran,A selective thioxothiazolidin-coumarin probe for Hg2+ based on its desulfurization reaction. Exploring its potential for live cell imaging,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, MARCIAL ANTONIO FUENTES ESTRADA, MARGARITA ALIAGA, DIEGO LUIS DURANGO RESTREPO",  Reino Unido, Jai-Elsevier Ltd, 10.1016/j.saa.2019.117372, 1386-1425,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,2020, 224, , 1, 7,"Naked eye sensor,",,
Olimpo Jose Garcia Beltran,Development of a Low-Cost UV-Vis Spectrophotometer and Its Application for the Detection of Mercuric Ions Assisted by Chemosensors,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, ASTRID YHULEIDY DIAZ NUNEZ, DAVID FERNANDO GONZALEZ MORALES, MARCIAL ANTONIO FUENTES ESTRADA, OSWALDO LOPEZ SANTOS",  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/s20030906, 1424-8220,Sensors,2020, 20, , 2, 16,"water contaminants,",,
Olimpo Jose Garcia Beltran,"Mulinum crassifolium Phil; Two New Mulinanes, Gastroprotective Activity and Metabolomic Analysis by UHPLC-Orbitrap Mass Spectrometry",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, MARIO SIMIRGIOTIS, BEATRIZ SEPULVEDA, CARLOS ARECHE",  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/molecules24091673, 1420-3049,Molecules,2019, 23, , 1673, 1675,,,
Olimpo Jose Garcia Beltran,"Simultaneous determination of tartrazine, sunset yellow and allura red in foods using a new cobalt-decorated carbon paste electrode",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR", , Elsevier Bv, 10.1016/j.jelechem.2019.113517, 1572-6657,Journal Of Electroanalytical Chemistry,2019, 852, , 113517, 113517,"Tartrazine-sunset yellow,",,
Olimpo Jose Garcia Beltran,Sensitive and Profitable Electrochemical Detection of Uric Acid in the Presence of Dopamine with a Novel Carbon Paste Electrode Decorated with a Copper(II) Complex,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR, JORGE ANDRES CALDERON GUTIERREZ",  Alemania, Wiley - V C H Verlag GmbbH & Co., 10.1002/elan.201900348, 1521-4109,Electroanalysis,2019, 31, 12, 2429, 2436,,,
Olimpo Jose Garcia Beltran,Theoretical Study of the Antioxidant Activity of Quercetin Oxidation Products,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, WILLIAM TIZNADO, BRUCE CASSELS NIVEN, OSVALDO YANEZ, EDISON HUMBERTO OSORIO LOPEZ",  Suiza, Frontiers Media S.A., 10.3389/fchem.2019.00818, 2296-2646,Frontiers in Chemistry,2019, 7, , 1, 10,,,
Olimpo Jose Garcia Beltran,Carbon Paste Composite with Co3O4 as a New Electrochemical Sensor for the Detection of Allura Red by Reduction,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR",  Alemania, Wiley - V C H Verlag GmbbH & Co., 10.1002/elan.201800550, 1521-4109,Electroanalysis,2019, 31, , 695, 703,,,
Olimpo Jose Garcia Beltran,"Structural, thermodynamic and kinetic factors in the desorption/absorption of a hydrogen molecule in the M3AlH10−xNa (M = Be or Mg; x = 0 or 2) hydrides",Artículo - Publicado en revista especializada,"EDISON HUMBERTO OSORIO LOPEZ, OLIMPO JOSE GARCIA BELTRAN",  Reino Unido, Royal Society of Chemistry, 10.1039/C5NJ00162E, 1369-9261,New Journal of Chemistry,2019, 39, , 18041, 18048,,,
Olimpo Jose Garcia Beltran,Adsorptive Stripping Voltammetric Determination of Lead and Cadmium in Natural Waters in the Presence of Rutin Using a Nafion¿Mercury Coated Film Electrode,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR",  Serbia, Fundacao Cesgranrio, 10.20964/2018.09.19, 1452-3981,International Journal of Electrochemical Science,2018, 13, , 8711, 8722,"Adsorptive stripping voltammetry,",,
Olimpo Jose Garcia Beltran,Detection of SO2 derivatives using a new chalco-coumarin derivative in cationic micellar media: application to real samples,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, PABLA AGUIRRE, MARCO NUNEZ, MARGARITA ALIAGA",  Reino Unido, Royal Society of Chemistry, 10.1039/C8RA04526G, 2046-2069,RSC Advances,2018, 8, , 31261, 31266,,,
Olimpo Jose Garcia Beltran,Development of a microcomposite with single-walled carbon nanotubes and Nd2O3for determination of paracetamol in pharmaceutical dosage by adsorptive voltammetry,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR",  China, Xi'an Jiaotong University, 10.1016/j.jpha.2018.11.005, 2095-1779,Journal of Pharmaceutical Analysis,2019, 9, , 62, 69,,,
Olimpo Jose Garcia Beltran,Electrocomposite Developed with Chitosan and Ionic Liquids Using Screen-Printed Carbon Electrodes Useful to Detect Rutin in Tropical Fruits,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR",  Suiza, Multidisciplinary Digital Publishing Institute (MDPI), 10.3390/s18092934, 1424-8220,Sensors,2018, 18, , 3, 14,"Rutin,",,
Olimpo Jose Garcia Beltran,Development of a Novel Electrochemical Sensor Based on a Carbon Paste Electrode Decorated with Nd2O3 for the Simultaneous Detection of Tartrazine and Sunset Yellow,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR",  Alemania, Wiley - V C H Verlag GmbbH & Co., 10.1002/elan.201800550, 1521-4109,Electroanalysis,2018, 30, , 2760, 2767,,,
Olimpo Jose Garcia Beltran,Voltammetric determination of amaranth and tartrazine with a new double-stranded copper(I) helicate-single-walled carbon nanotube modified screen printed electrode,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR, JORGE ANDRES CALDERON GUTIERREZ",  Países Bajos, Elsevier Bv, 10.1016/j.jelechem.2018.05.017, 1572-6657,Journal Of Electroanalytical Chemistry,2018, 822, , 95, 104,,,
Olimpo Jose Garcia Beltran,"Speciation of morin and rutin in black tea, Cymbopogon citratusand fruit infusions by adsorption voltammetry using screen-printed carbon electrodes coated with chitosan: effect of pH on speciation",Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JOHN JADY HURTADO BELALCAZAR",  Reino Unido, Royal Society of Chemistry, 10.1039/C8AY01067F, 1759-9679,Analytical Methods,2018, 10, , 3680, 3686,,,
Olimpo Jose Garcia Beltran,Determination of Allura Red in the Presence of Cetylpyridinium Bromide by Square-wave Adsorptive Stripping Voltammetry on a Glassy Carbon Electrode,Artículo - Publicado en revista especializada,"EDGAR ORLANDO NAGLES VIDAL, OLIMPO JOSE GARCIA BELTRAN",  Japón, Japan Society for Analytical Chemistry, 10.2116/analsci.17P555, 1348-2246,Analytical Sciences,2018, 34, , 1171, 1175,"Amaranth,",,
Olimpo Jose Garcia Beltran,Electochemical Detection of Imidacloprid Using a Screen Printed Single Walled Carbon Nanotubes Coated with and Ionic Liquids,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, JORGE ANDRES CALDERON GUTIERREZ, LIDA MARCELA FRANCO PEREZ",  Serbia, Fundacao Cesgranrio, 10.20964/2018.06.73, 1452-3981,International Journal of Electrochemical Science,2018, 13, , 5775, 5787,"Imidacloprid,",,
Olimpo Jose Garcia Beltran,UHPLC-ESI-ORBITRAP-MS analysis of the native Mapuche medicinal plant palo negro (Leptocarpha rivularis DC. ¿ Asteraceae) and evaluation of its antioxidant and cholinesterase inhibitory properties,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, EDGAR ORLANDO NAGLES VIDAL, CARLOS ARECHE, BEATRIZ SEPULVEDA, MARIO SIMIRGIOTIS, CRISTINA QUISPE",  Reino Unido, Taylor & Francis Ltd, 10.1080/14756366.2018.1466880, 1475-6366,Journal of Enzyme Inhibition and Medicinal Chemistry,2018, 33, , 936, 944,"Electrospray,",,
Olimpo Jose Garcia Beltran,"Discovery two potent and new inhibitors of 15-lipoxygenase: (E)-3-((3,4-dihydroxybenzylidene) amino)-7-hydroxy-2H-chromen-2-one and (E)-O-(4-(((7-hydroxy-2-oxo-2H-chromen-3-yl) imino)methine) phenyl)dimethylcarbamothioate",Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Estados Unidos, Birkhäuser Boston, 10.1007/s00044-017-1968-9, 1554-8120,Medicinal Chemistry Research,2017, 26, , 2707, 2717,"Coumarin derivatives,",,
Olimpo Jose Garcia Beltran,Determination of Rutin in Drinks Using an Electrode Modified with Carbon Nanotubes-Prussian Blue,Artículo - Publicado en revista especializada,"OLIMPO JOSE GARCIA BELTRAN, JOHN JADY HURTADO BELALCAZAR, EDGAR ORLANDO NAGLES VIDAL",  Países Bajos, Maik Nauka Publishing / Springer SBM, 10.1134/S1061934818050064, 1061-9348,Journal of Analytical Chemistry,2018, 73, , 504, 511,"Rutin,",,
Olimpo Jose Garcia Beltran,A new and simple electroanalytical method to detect thiomersal in vaccines on a screen-printed electrode modified with chitosan,Artículo - Publicado en revista especializada,OLIMPO JOSE GARCIA BELTRAN,  Reino Unido, Royal Society of Chemistry, 10.1039/C8AY00161H, 1759-9679,Analytical Methods,2018, 10, , 1196, 1202,,,
Juan Pablo Echeverry Enciso,"Molecular γ-amino butyric acid and its crystals: Structural, electronic and optical properties",Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO, , Elsevier Science Inc, 10.1016/j.jssc.2023.123900, 0022-4596,Journal of Solid State Chemistry,2023, 321, N/A, 123900,,,,
Juan Pablo Echeverry Enciso,Dramatic Plasmon Response to the Charge-Density-Wave Gap Development in 1T−TiSe2,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO, , The American Physical Society, 10.1103/PhysRevLett.129.187601, 1079-7114,Physical Review Letters,2022, 129, , 1079, 1088,,,
Juan Pablo Echeverry Enciso,Optical absorption measurements and optoelectronic DFT calculations for ethanol solvated quercetin and anhydrous/hydrated quercetin crystals,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO, , Elsevier Science Inc, 10.1016/j.jssc.2022.123242, 0022-4596,Journal of Solid State Chemistry,2022, 312, N/A, 10, 27,,,
Juan Pablo Echeverry Enciso,Low energy plasmonic structure in CaC6,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO,  Colombia, The American Physical Society, http://journals.aps.org/prb/abstract/10.1103/PhysRevB.85.205135, 0163-1829,Physical Review B - Condensed Matter,2012, 85, 205135, 1, 8,,,
Juan Pablo Echeverry Enciso,Efecto del espesor de películas de ferritas de MnZn sobre su respuesta magnética,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO,  Colombia, Pontificia Universidad Javeriana,, 0120-2650,Revista Colombiana De Fisica,2007, 39, 1, 191, 194,,,
Juan Pablo Echeverry Enciso,Microscopía de sonda de barrido: Herramienta para el estudio cuantitativo de morfología y estructura de dominios en películas delgadas magnéticas,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO,  Colombia, Pontificia Universidad Javeriana,, 0120-2650,Revista Colombiana De Fisica,2007, 39, 2, 601, 604,,,
Juan Pablo Echeverry Enciso,Splitting between Bright and Dark excitons in Transition Metal Dichalcogenide Monolayers,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO,  Colombia, The American Physical Society, http://journals.aps.org/prb/abstract/10.1103/PhysRevB.93.121107, 0163-1829,Physical Review B - Condensed Matter,2016, 93, 121107(R), 1, 8,,,
Juan Pablo Echeverry Enciso,Excitonic properties of semiconducting monolayer and bilayer MoTe2,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO,  Colombia, The American Physical Society, http://journals.aps.org/prb/abstract/10.1103/PhysRevB.94.155425, 0163-1829,Physical Review B - Condensed Matter,2016, 94, 155425, 1, 8,,,
Juan Pablo Echeverry Enciso,Low-energy plasmons in quantum-well and surface states of metallic thin films,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO,  Colombia, The American Physical Society, http://journals.aps.org/prb/abstract/10.1103/PhysRevB.84.165416, 0163-1829,Physical Review B - Condensed Matter,2011, 84, 165416, 1, 9,,,
Juan Pablo Echeverry Enciso,Modification of response properties of the Be(0001) surface upon adsorption of a potassium monolayer: An ab initio calculation,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO,  Colombia, Wiley-V C H Verlag Gmbh, http://onlinelibrary.wiley.com/doi/10.1002/pssc.200983842/abstract, 0370-1972,Physica Status Solidi (B): Basic Research,2010, 247, 8, 1849, 1857,,,
Juan Pablo Echeverry Enciso,Collective electronic excitations in a potassium-covered Be surface,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO,  Colombia, Wiley - V C H Verlag GmbbH & Co., http://onlinelibrary.wiley.com/doi/10.1002/pssc.200983842/abstract, 1610-1642,Physica Status Solidi (C) Current Topics in Solid State Physics,2010, 7, 11-12, 2640, 2643,,,
Juan Pablo Echeverry Enciso,"Low-energy collective electronic excitations in LiC6,SrC6, and BaC6",Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO, , The American Physical Society, 10.1103/115137, 1098-0121,Physical Review B - Condensed Matter and Materials Physics,2019, 100, , 155137, 155149,,,
Juan Pablo Echeverry Enciso,"Theoretical investigations of the anisotropic optical properties of distorted 1T ReS2 and ReSe2 monolayers, bilayers, and in the bulk limit",Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO, , The American Physical Society, https://doi.org/10.1103/PhysRevB.97.075123, 1098-0121,Physical Review B - Condensed Matter and Materials Physics,2018, 97, N/A, 0751231, 07512310,,,
Juan Pablo Echeverry Enciso,Excitonic properties of semiconducting monolayer and bilayer MoTe2,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO, , The American Physical Society, https://doi.org/10.1103/PhysRevB.94.155425, 1098-0121,Physical Review B - Condensed Matter and Materials Physics,2016, 94, N/A, 1554251, 1554258,,,
Juan Pablo Echeverry Enciso,Splitting between bright and dark excitons in transition metal dichalcogenide monolayers,Artículo - Publicado en revista especializada,JUAN PABLO ECHEVERRY ENCISO, , The American Physical Society, https://doi.org/10.1103/PhysRevB.93.121107, 1098-0121,Physical Review B - Condensed Matter and Materials Physics,2016, 93, N/A, 121107, 121107,,,
Hernán Javier   Herrera  Suárez,Internal electric-field and segregation effects on luminescence properties of quantum wells,Artículo - Publicado en revista especializada,"HERNAN JAVIER HERRERA SUAREZ, GERARDO GONZALEZ DE LA CRUZ, JOSE ANTONIO CALDERON ARENAS",  Estados Unidos, AIP (American Institute of Physics) Press, http://scitation.aip.org/content/aip/journal/jap/98/2/10.1063/1.1954889, 0021-8979,Journal of Applied Physics,2005, 98, N/A, 023501-1, 023501 4,"Pozos cuanticos semiconductores,",,
Hernán Javier   Herrera  Suárez,Underdamped oscillations of a mass between two springs,Artículo - Publicado en revista especializada,"HERNAN JAVIER HERRERA SUAREZ, JOSE HERMAN MUNOZ NUNGO, JACOBO OSSA NOVOA, HANNYA LUCIA MORALES ARANGUREN",  Reino Unido, Kunming Institute of Physics, 10.1088/1361-6552/ac8409, 0031-9120,Physics Education,2022, 57, 6, 065010, 065010,"underdamped oscillator motion,",,
